HUD AMP #,TDS #,CONSOLIDATED TDS #,DEVELOPMENT EDP #,OPERATING EDP #,HUD #,DEVELOPMENT NAME,METHOD,TYPE,PROGRAM,# OF SECTION 8 TRANSITION UNITS,# OF CURRENT UNITS,TOTAL NUMBER OF UNITS,NUMBER OF RENTAL ROOMS,AVG. NO. R/R PER UNIT,POPULATION - SECTION 8 TRANSITION,POPULATION - PUBLIC HOUSING,TOTAL POPULATION,# OF RESIDENTIAL BUILDINGS,# OF NON-RESIDENTIAL BUILDINGS,# OF STAIRHALLS,# OF STORIES,TOTAL AREA - SQ. FT.,ACRES,NET DEV. AREA - SQ. FT.,(EXCLUDING PARK) ACRES,BLDG. COVERAGE - SQ. FT.,CUBAGE - CU. FT.,BLDG/LAND COVERAGE - %,DENSITY (POPULATION/ACRE),DEVELOPMENT COST,COST PER RENTAL ROOM (AS BUILT),AVG. MONTHLY GROSS RENT,LOCATION,BOROUGH,COMMUNITY DISTRICT,US CONGRESSIONAL DISTRICT,NEW YORK STATE SENATE DISTRICT,NEW YORK STATE ASSEMBLY DISTRICT,NEW YORK CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,# OF FAMILIES ON FIXED INCOME,% OF FAMILIES ON FIXED INCOME,YEAR
NY005012800,280,280,506,506,NY005205,SACK WERN,CONVENTIONAL,REHAB,,,410,413,"1,886",4.6,,878,878,7,1,8,6,"226,969",5.21,"226,969",5.21,"63,056","3,782,352",27.78%,169,"$8,699,894","$4,528",$492.46,BEACH AVE,BRONX,9,15,34,85,18,5/12/1977,,,,,,,2016
NY005020930,093,093,673,673,NY005384,SAINT MARY’S PARK,CONVENTIONAL,NEW CONST,MIXED FINANCE/LLC1,184,"1,006","1,007","4,529",4.5,501,"1,828","2,329",6,0,6,21,"588,851",13.52,"545,801",12.53,"57,006","8,922,933",9.68%,172,"$16,351,823","$3,607",$468.24,CAULDWELL AVE,BRONX,1,15,"29, 32","79, 84",17,4/30/1959,,,,,,,2016
NY005010450,045,045,368,368,NY005183B,SEDGWICK,CONVENTIONAL,NEW CONST,FEDERAL,,783,786,"3,316.5",4.24,,"1,510","1,510",7,0,7,14-15,"319,008",7.32,"319,008",7.32,"59,598","6,642,484",18.68%,206,"$8,397,841","$2,529",$440.12,UNDERCLIFF AVE,BRONX,5,13,29,77,16,3/23/1951,1972/06/29-FED TRAN,,,,,,2016
NY005010670,067,067,222,222,NY005022,SOTOMAYOR HOUSES,CONVENTIONAL,NEW CONST,FEDERAL,,"1,497","1,497","6,971.5",4.66,,"3,444","3,444",28,3,31,7,"1,340,519",30.77,"1,340,519",30.77,"190,435","12,238,008",14.21%,112,"$17,963,549","$2,564",$484.55,WATSON AVE,BRONX,9,15,32,85,18,2/28/1955,,,,,,,2016
NY005000710,071,071,537,537,NY005220H,SOUNDVIEW,CONVENTIONAL,NEW CONST,FEDERAL,,"1,258","1,259","5,863",4.66,,"3,008","3,008",13,2,28,7,"1,076,761",24.72,"1,076,761",24.72,"164,048","10,481,330",14.32%,122,"$13,445,000","$2,308",$453.29,ROSEDALE AVE,BRONX,9,15,32,85,18,10/29/1954,1978/07/01-ATP 3,,,,,,2016
NY005013420,305,342,550,753,NY005224,SOUTH BRONX AREA (SITE 402),TURNKEY,NEW CONST,FEDERAL,,112,114,592,5.29,,414,414,4,0,19,3,"149,500",3.43,"149,500",3.43,"41,764","1,301,202",27.94%,121,"$8,902,455","$14,764",$609.29,E 158TH ST,BRONX,1,15,32,79,17,5/1/1988,,,YES,,,,2016
NY005013420,353,342,770,753,NY005280,STEBBINS AVENUE-HEWITT PLACE,TURNKEY,NEW CONST,FEDERAL,,119,120,535.5,4.5,,280,280,2,0,14,3,"123,156",2.83,"123,156",2.83,"42,267","1,098,942",34.32%,99,"$8,851,338","$16,391",$549.34,HEWITT PL,BRONX,2,15,32,85,17,4/17/1987,,,YES,,,,2016
NY005013080,223,308,344,344,NY005163,TELLER AVENUE-EAST 166TH STREET,TURNKEY,NEW CONST,FEDERAL,,90,90,352,3.91,,175,175,1,0,1,6,"27,481",0.63,"27,481",0.63,"12,354","816,812",44.95%,278,"$2,296,895","$6,363",$376.30,TELLER AVE,BRONX,4,15,32,77,16,9/30/1971,,,,,,,2016
NY005010630,063,063,218,218,NY005015,THROGGS NECK,CONVENTIONAL,NEW CONST,FEDERAL,,"1,182","1,185","5,423",4.59,,"2,713","2,713",29,2,66,3-7,"1,430,081",32.83,"1,430,081",32.83,"228,989","11,440,850",16.01%,83,"$15,541,569","$2,859",$506.79,RANDALL AVE,BRONX,10,14,34,82,13,11/27/1953,,,,,,,2016
NY005010630,193,063,303,218,NY005098,THROGGS NECK ADDITION,CONVENTIONAL,NEW CONST,FEDERAL,,286,287,"1,327",4.64,,713,713,4,0,4,8-11,"384,899",8.84,"384,899",8.84,"39,315","2,755,918",10.21%,81,"$7,405,898","$5,523",$507.94,DEWEY AVE,BRONX,10,14,34,82,13,9/30/1971,,,,,,,2016
NY005012270,287,227,577,577,NY005227,TWIN PARKS EAST (SITE 9),CONVENTIONAL,NEW CONST (ELD),FEDERAL,,219,219,689.5,3.15,,230,230,1,0,1,14,"71,490",1.64,"71,490",1.64,"11,388","1,505,284",15.93%,140,"$11,406,932","$16,520",$303.02,CLINTON AVE,BRONX,6,15,33,79,15,4/30/1982,,EXCLUSIVELY,YES,,,,2016
NY005012270,227,227,363,363,NY005178,TWIN PARKS WEST (SITES 1 & 2),CONVENTIONAL,NEW CONST,FEDERAL,,311,312,"1,504.5",4.84,,876,876,1,0,7,16,"189,384",4.35,"189,384",4.35,"33,186","3,411,979",17.52%,201,"$14,286,716","$9,424",$520.58,WEBSTER AVE,BRONX,5,15,33,86,15,9/30/1974,,,,,,,2016
NY005013420,342,342,753,753,NY005214,UNION AVENUE-EAST 163RD STREET,TURNKEY,NEW CONST (ELD),FEDERAL,,199,200,696.5,3.5,,225,225,1,0,1,9,"115,299",2.65,"115,299",2.65,"18,632","1,502,857",16.16%,85,"$12,675,000","$18,107",$301.55,E 165TH ST,BRONX,3,15,32,79,17,3/11/1985,,EXCLUSIVELY,YES,,,,2016
NY005013420,356,342,768,753,NY005291,UNION AVENUE-EAST 166TH STREET,TURNKEY,NEW CONST,FEDERAL,,120,120,539,4.49,,292,292,6,0,20,3,"98,707",2.27,"98,707",2.27,"38,943","1,022,257",39.45%,129,"$9,239,549","$17,142",$546.26,E 166TH ST,BRONX,3,15,32,79,17,9/1/1988,,,YES,,,,2016
NY005013410,341,341,762,762,NY005283,UNIVERSITY AVENUE REHAB,TURNKEY,REHAB,FEDERAL,,230,230,1034,4.5,,521,521,4,0,5,6,"77,898",1.79,"77,898",1.79,"43,696","2,798,894",56.09%,291,"$15,900,000","$15,377",$417.00,W BURNSIDE AVE,BRONX,5,15,29,86,14,1/31/1985,,,YES,YES,,,2016
NY005011410,141,141,231,231,NY005028,WEBSTER,CONVENTIONAL,NEW CONST,FEDERAL,,606,606,2831,4.67,,"1,602","1,602",5,1,6,21,"197,199",4.53,"197,199",4.53,"31,247","5,322,369",15.85%,354,"$12,227,114","$4,319",$442.71,E 169TH ST,BRONX,3,15,32,79,16,9/30/1965,,,,,,,2016
NY005015300,360,530,780,780,NY005286,WEST FARMS ROAD REHAB,TURNKEY,REHAB,FEDERAL,,208,208,883,4.25,,455,455,4,0,7,6,"51,965",1.19,"51,965",1.19,"34,935","2,104,200",67.23%,382,"$14,480,678","$16,399",$479.13,FREEMAN ST,BRONX,"2, 3",15,32,85,17,8/13/1986,,,YES,YES,,,2016
NY005015310,526,530,481,482,NY005318,WEST FARMS SQUARE CONVENTIONAL,CONVENTIONAL,REHAB,FEDERAL,,20,20,85,4.25,,50,50,1,0,1,5,"5,000",0.11,"5,000",0.11,"3,363","202,892",67.26%,455,"$1,558,811","$18,339",$503.75,E 167TH ST,BRONX,3,15,32,85,17,6/30/1994,,,YES,YES,,,2016
NY005010450,246,045,365,368,NY005180,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,TURNKEY,NEW CONST (ELD),FEDERAL,,148,148,485,3.28,,161,161,1,0,1,12,"36,563",0.84,"36,563",0.84,"9,609","982,251",26.28%,192,"$4,380,000","$8,734",$265.84,W TREMONT AVE,BRONX,5,15,29,77,14,7/31/1973,,EXCLUSIVELY,,,,,2016
NY005011670,242,167,361,283,NY005174,104-14 TAPSCOTT STREET,TURNKEY,NEW CONST,FEDERAL,,30,30,131.0,4.37,,69,69,1,0,1,4,"10,000",0.23,"10,000",0.23,"6,983","351,238",69.83%,300,"$839,110","$6,505",$443.53,TAPSCOTT ST,BROOKLYN,16,9,20,55,41,10/31/1972,,,,,,,2016
NY005010730,156,073,267,267,NY005068,303 VERNON AVENUE,CONVENTIONAL,NEW CONST,FEDERAL,,234,234,"1,101.0",4.71,,552,552,1,0,1,24,"110,000",2.53,"110,000",2.53,"11,311","2,207,369",10.28%,218,"$4,703,702","$4,272",$489.27,VERNON AVE,BROOKLYN,3,8,18,54,36,05/31/1967,,,,,,,2016
NY005011630,196,163,307,272,NY005103,572 WARREN STREET,TURNKEY,NEW CONST,FEDERAL,,200,200,815.0,4.08,,382,382,1,1,2,6,"81,700",1.88,"81,700",1.88,"28,530","1,726,301",34.92%,203,"$5,984,598","$7,116",$491.95,WARREN ST,BROOKLYN,6,7,25,52,33,08/31/1972,,,,,,,2016
NY005010310,031,031,524,524,NY005216C,ALBANY,CONVENTIONAL,NEW CONST,FEDERAL,,825,829,"3,786.5",4.59,,"1,949","1,949",6,0,6,14,"388,389",8.92,"388,389",8.92,"58,455","7,082,630",15.05%,219,"$8,951,000","$2,356",$472.42,ALBANY AVE,BROOKLYN,8,9,25,56,36,10/14/1950,1978/02/01-ATP 2,,,,,,2016
NY005010310,085,031,524,524,NY005216C,ALBANY II,CONVENTIONAL,NEW CONST,FEDERAL,,400,400,"1,847.0",4.62,,"1,036","1,036",3,0,3,13-14,"214,594",4.93,"214,594",4.93,"26,053","3,249,689",12.14%,210,"$4,666,000","$2,540",$456.63,BERGEN ST,BROOKLYN,8,9,25,56,36,02/07/1957,1978/02/01-ATP 2,,,,,,2016
NY005012100,210,210,325,325,NY005120,ARMSTRONG I,CONVENTIONAL,NEW CONST,FEDERAL,,369,371,"1,763.5",4.78,,"1,044","1,044",11,1,58,3-4-6,"245,481",5.64,"245,481",5.64,"94,311","4,800,020",38.42%,185,"$14,648,872","$8,129",$487.04,CLIFTON PL,BROOKLYN,3,8,25,"56, 57",36,05/31/1973,,PARTIALLY,,,,,2016
NY005012100,228,210,355,325,NY005116,ARMSTRONG II,TURNKEY,NEW CONST,FEDERAL,,248,248,"1,276.0",5.15,,754,754,5,1,17,4,"162,118",3.72,"162,118",3.72,"67,372","3,123,424",41.56%,203,"$7,802,067","$6,114",$521.83,GREENE AVE,BROOKLYN,3,8,25,56,36,10/31/1974,,,,,,,2016
NY005011630,256,163,384,272,NY005189,ATLANTIC TERMINAL SITE 4B,TURNKEY,NEW CONST,,,299,300,"1,237.5",4.14,,604,604,1,0,1,31,"88,155",2.02,"88,155",2.02,"15,382","2,464,800",17.45%,299,"$10,797,972","$8,489",$517.83,CLERMONT AVE,BROOKLYN,2,8,25,57,35,04/30/1976,,,,,,,2016
NY005020920,092,092,670,670,NY005368,BAY VIEW,CONVENTIONAL,NEW CONST,,308,"1,608","1,610","7,306.0",4.54,842,"2,730","3,572",23,2,25,8,"1,481,844",34.02,"1,459,244",33.50,"228,305","14,262,296",15.41%,105,"$19,575,470","$2,676",$479.33,SEAVIEW AVE,BROOKLYN,18,8,19,59,46,06/07/1956,,,,,,,2016
NY005010730,311,073,266,538,NY005255,BEDFORD-STUYVESANT REHAB,TURNKEY,REHAB,,,84,85,381.0,4.54,,184,184,3,0,5,4-6,"26,000",0.60,"26,000",0.60,"18,283","856,611",70.32%,307,"$5,219,763","$13,316",$476.14,THROOP AVE,BROOKLYN,3,8,18,54,36,05/31/1983,,,YES,,,,2016
NY005010460,345,046,761,761,NY005282,BELMONT-SUTTER AREA,TURNKEY,NEW CONST,,,72,72,336.0,4.67,,191,191,3,0,8,3,"80,000",1.84,"80,000",1.84,"24,395","889,912",30.49%,104,"$5,373,534","$15,993",$505.08,BELMONT AVE,BROOKLYN,5,8,19,60,42,02/28/1986,,,YES,,,,2016
NY005011310,357,131,777,777,NY005288,BERRY STREET-SOUTH 9TH STREET,TURNKEY,NEW CONST,,,150,150,711.0,4.74,,381,381,4,0,15,3-6,"129,228",2.97,"129,228",2.97,"39,559","1,341,343",30.61%,128,"$17,062,418","$23,999",$544.17,SOUTH 9TH ST,BROOKLYN,1,7,18,50,33,09/30/1995,,,YES,,,,2016
NY005012430,243,243,353,353,NY005175,BORINQUEN PLAZA I,TURNKEY,NEW CONST,,,509,509,"2,359.5",4.64,,"1,172","1,172",8,2,10,7,"250,875",5.76,"250,875",5.76,"96,902","4,544,080",38.63%,203,"$15,625,047","$6,556",$494.32,MANHATTAN AVE,BROOKLYN,1,7,18,53,34,02/28/1975,,PARTIALLY,,,,,2016
NY005012430,271,243,390,353,NY005195,BORINQUEN PLAZA II,TURNKEY,NEW CONST,,,425,425,"2,265.5",5.33,,"1,183","1,183",7,0,7,7,"184,000",4.22,"184,000",4.22,"61,115","4,223,000",33.21%,280,"$16,411,918","$7,244",$576.00,BOERUM ST,BROOKLYN,1,7,18,53,34,12/31/1975,,,,,,,2016
NY005020460,046,046,637,637,NY005369,BOULEVARD,CONVENTIONAL,NEW CONST,,364,"1,424","1,441","5,992.0",4.21,733,"2,104","2,837",18,0,30,6-14,"1,127,650",25.89,"1,127,650",25.89,"170,051","12,141,094",15.08%,110,"$13,645,438","$2,247",$480.99,LINDEN BLVD,BROOKLYN,5,8,19,60,42,03/22/1951,,,,,,,2016
NY005000560,056,056,212,212,NY005011,BREUKELEN,CONVENTIONAL,NEW CONST,,,"1,594","1,595","7,469.0",4.69,,"3,612","3,612",30,2,97,3-7,"2,830,416",64.98,"2,141,741",49.17,"360,423","14,297,000",12.73%,56,"$18,410,273","$2,464",$509.71,STANLEY AVE,BROOKLYN,18,8,19,"58, 60",42,11/06/1952,,,,,,,2016
NY005000650,065,065,213,213,NY005017,BREVOORT,CONVENTIONAL,NEW CONST,,,894,896,"4,187.0",4.68,,"1,969","1,969",13,1,27,7,"751,896",17.26,"687,188",15.78,"121,363","7,735,916",16.14%,114,"$11,831,887","$2,849",$505.60,BAINBRIDGE ST,BROOKLYN,3,8,25,55,41,08/10/1955,,,,,,,2016
NY005012520,325,252,336,336,NY005277,BROWN,TURNKEY,NEW CONST (ELD),,,200,200,700.0,3.50,,218,218,2,0,2,6,"99,460",2.28,"99,460",2.28,"29,354","1,493,904",29.51%,96,"$13,425,060","$19,179",$339.11,EASTERN PKWY,BROOKLYN,16,8,20,55,41,07/23/1985,,EXCLUSIVELY,YES,,,,2016
NY005000160,016,016,512,512,NY005213D,BROWNSVILLE,CONVENTIONAL,NEW CONST,,,"1,336","1,338","6,280.0",4.70,,"3,248","3,248",27,0,46,6-7,"819,997",18.82,"732,841",16.82,"188,564","10,371,638",23.00%,173,"$12,898,000","$2,054",$461.48,SUTTER AVE,BROOKLYN,16,9,20,55,41,04/16/1948,1977/07/01-ATP 1,,,,,,2016
NY005020860,086,086,430,430,NY005370,BUSHWICK,CONVENTIONAL,NEW CONST,,182,"1,220","1,220","5,673.0",4.65,506,"2,444","2,950",8,0,8,13-20,"697,736",16.02,"639,260",14.68,"78,768","11,288,105",11.29%,184,"$20,346,000","$3,599",$469.23,HUMBOLDT ST,BROOKLYN,1,7,18,53,34,04/01/1960,,,,,,,2016
NY005012470,302,247,565,546,NY005222,BUSHWICK II (GROUPS A & C),TURNKEY,NEW CONST,,,299,300,"1,446.5",4.84,,747,747,25,0,25,3,"402,930",9.25,"402,930",9.25,"102,600","3,200,584",25.46%,81,"$20,840,392","$14,235",$541.54,CENTRAL AVE,BROOKLYN,4,"7, 8",18,"53, 54","34, 37",07/19/1984,,,YES,,,,2016
NY005012470,303,247,566,546,NY005240,BUSHWICK II (GROUPS B & D),TURNKEY,NEW CONST,FEDERAL,,300,300,"1,450.0",4.83,,726,726,25,1,27,3,"440,392",10.11,"440,392",10.11,"102,600","3,200,584",23.30%,72,"$19,608,177","$13,339",$513.37,GATES AVE,BROOKLYN,4,7,18,"53, 54","34, 37",07/05/1984,,,YES,,,,2016
NY005012470,324,247,758,546,NY005263,BUSHWICK II CDA (GROUP E),TURNKEY,NEW CONST,FEDERAL,,276,276,"1,212.0",4.39,,543,543,5,0,37,3,"300,000",6.89,"300,000",6.89,"84,230","2,198,403",28.08%,79,"$20,078,888","$16,539",$473.44,KNICKERBOCKER AVE,BROOKLYN,4,7,18,53,37,12/10/1986,,,YES,,,,2016
NY005011660,166,166,288,288,NY005088,CAREY GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,682,683,"3,095.0",4.54,,"1,709","1,709",3,2,5,15-17,"364,406",8.37,"364,406",8.37,"58,078","6,234,149",15.94%,204,"$16,996,504","$5,476",$460.90,W 24TH ST,BROOKLYN,13,8,23,46,47,11/30/1970,,,,,,,2016
NY005011700,094,170,671,671,NY005363,CONEY ISLAND,CONVENTIONAL,NEW CONST,FEDERAL,,534,534,"2,442.0",4.57,,"1,181","1,181",5,0,5,14,"298,874",6.86,"239,429",5.50,"38,119","4,912,800",12.75%,172,"$7,728,534","$3,165",$537.98,SURF AVE,BROOKLYN,13,8,23,46,47,02/25/1957,1995/07/13-PTA,,,,,,2016
NY005011660,239,166,335,288,NY005161,CONEY ISLAND I (SITE 1B),TURNKEY,NEW CONST,FEDERAL,,192,193,952.0,4.96,,528,528,1,0,1,18,"93,061",2.14,"93,061",2.14,"14,078","1,876,990",15.13%,247,"$7,531,412","$7,829",$474.59,W 20TH ST,BROOKLYN,13,8,23,46,47,05/31/1973,,,,,,,2016
NY005011700,216,170,328,278,NY005123,CONEY ISLAND I (SITES 4 & 5),TURNKEY,NEW CONST,FEDERAL,,376,376,"1,879.0",5.00,,"1,045","1,045",1,1,6,17,"187,318",4.30,"187,318",4.30,"38,750","4,017,326",20.69%,243,"$16,603,000","$8,808",$521.09,MERMAID AVE,BROOKLYN,13,8,23,46,47,07/31/1974,,,,,,,2016
NY005011720,238,172,334,334,NY005157,CONEY ISLAND I (SITE 8),TURNKEY,NEW CONST,FEDERAL,,124,125,626.0,5.05,,359,359,1,0,2,14,"61,483",1.41,"61,483",1.41,"11,970","1,187,936",19.47%,255,"$5,853,893","$9,255",$542.70,W 35TH ST,BROOKLYN,13,8,23,46,47,12/31/1973,,,,,,,2016
NY005000690,069,069,223,223,NY005023,COOPER PARK,CONVENTIONAL,NEW CONST,FEDERAL,,700,700,"3,281.0",4.69,,"1,578","1,578",11,0,13,7,"528,967",12.14,"496,296",11.39,"86,767","5,878,957",16.40%,130,"$7,702,277","$2,346",$489.09,FROST ST,BROOKLYN,1,12,18,50,34,06/25/1953,,,,,,,2016
NY005013510,312,351,331,765,NY005258,CROWN HEIGHTS,TURNKEY,REHAB,FEDERAL,,121,121,527.5,4.36,,263,263,8,0,8,4,"51,255",1.18,"51,255",1.18,"31,650","1,139,400",61.75%,223,"$7,974,650","$15,118",$625.51,BUFFALO AVE,BROOKLYN,8,"8, 9","20, 25","55, 56",41,09/04/1986,,,YES,,,,2016
NY005010700,070,070,536,536,NY005220G,CYPRESS HILLS,CONVENTIONAL,NEW CONST,FEDERAL,,"1,441","1,444","6,598.5",4.58,,"3,401","3,401",15,0,30,7,"1,264,130",29.02,"1,264,130",29.02,"223,364","12,338,237",17.67%,117,"$14,773,000","$2,247",$457.90,SUTTER AVE,BROOKLYN,5,8,"18, 19",60,42,05/25/1955,1978/07/01-ATP 3,,,,,,2016
NY005010700,263,070,378,378,NY005171,EAST NEW YORK CITY LINE,TURNKEY,NEW CONST,FEDERAL,,66,66,409.0,6.20,,275,275,33,0,33,3,"84,400",1.94,"84,400",1.94,"26,943","719,300",31.92%,142,"$2,774,644","$6,784",$534.14,FOUNTAIN AVE,BROOKLYN,5,8,19,60,42,03/31/1976,,,,,,,2016
NY005000290,029,029,532,532,NY005220C,FARRAGUT,CONVENTIONAL,NEW CONST,FEDERAL,,"1,389","1,390","6,515.5",4.69,,"3,277","3,277",10,0,10,14,"723,570",16.61,"723,570",16.61,"100,746","11,639,930",13.92%,197,"$15,187,000","$2,324",$484.87,YORK ST,BROOKLYN,2,8,25,57,35,05/07/1952,1978/07/01-ATP 3,,,,,,2016
NY005011670,205,167,322,283,NY005129,FENIMORE-LEFFERTS,TURNKEY,NEW CONST,FEDERAL,,36,36,180.0,5.00,,104,104,18,0,18,2,"33,705",0.77,"33,705",0.77,"20,339","564,300",60.34%,135,"$633,673","$3,520",$658.78,FENIMORE ST,BROOKLYN,9,9,20,43,"40, 41",09/30/1969,,,YES,,,,2016
NY005012610,207,261,375,375,NY005188,FIORENTINO PLAZA,CONVENTIONAL,NEW CONST,FEDERAL,,158,160,787.0,4.98,,472,472,8,0,10,4,"95,000",2.18,"95,000",2.18,"42,189","1,916,306",44.41%,217,"$6,138,432","$7,712",$480.97,GLENMORE AVE,BROOKLYN,5,8,19,55,37,10/31/1971,,,,,,,2016
NY005012520,252,252,381,381,NY005166,GARVEY (GROUP A),CONVENTIONAL,NEW CONST,FEDERAL,,320,321,"1,525.0",4.77,,804,804,3,1,6,"2, 6-14","142,730",3.28,"142,730",3.28,"40,745","3,257,257",28.55%,245,"$12,599,489","$8,168",$481.69,EAST NEW YORK AVE,BROOKLYN,16,9,20,55,41,02/28/1975,,PARTIALLY,,,,,2016
NY005011690,171,169,581,581,NY005267C,GLENMORE PLAZA,CONVENTIONAL,NEW CONST,FEDERAL,,440,440,"1,704.0",3.87,,841,841,4,0,4,10-18-24,"186,180",4.27,"186,180",4.27,"24,838","4,024,811",13.34%,197,"$10,600,000","$6,221",$457.32,PITKIN AVE,BROOKLYN,16,8,19,55,37,04/30/1968,1980/07/01-ATP 5,,,,,,2016
NY005000440,044,044,584,584,NY005268B,GLENWOOD,CONVENTIONAL,NEW CONST,FEDERAL,,"1,187","1,188","5,210.5",4.39,,"2,582","2,582",20,0,40,6,"975,095",22.39,"915,230",21.01,"183,856","10,242,805",18.86%,115,"$12,907,133","$2,475",$521.68,E 56TH ST,BROOKLYN,18,8,21,59,45,07/14/1950,1980/07/01-ATP 6,,,,,,2016
NY005000250,025,025,515,515,NY005213G,GOWANUS,CONVENTIONAL,NEW CONST,FEDERAL,,"1,137","1,139","5,434.5",4.78,,"2,759","2,759",14,1,25,4-6-9-13-14,"547,663",12.57,"502,216",11.53,"105,659","9,028,680",19.29%,219,"$11,928,000","$2,203",$528.52,WYCKOFF ST,BROOKLYN,6,7,25,52,33,06/24/1949,1977/07/01-ATP 1,,,,,,2016
NY005011720,068,172,225,225,NY005025,GRAVESEND,CONVENTIONAL,NEW CONST,FEDERAL,,634,634,"2,951.0",4.65,,"1,533","1,533",15,0,15,7,"540,725",12.41,"540,725",12.41,"92,855","5,356,500",17.17%,124,"$7,927,996","$2,687",$460.48,NEPTUNE AVE,BROOKLYN,13,8,23,46,47,06/28/1954,,,,,,,2016
NY005011660,142,166,589,589,NY005271D,HABER,CONVENTIONAL,NEW CONST (ELD),FEDERAL,,380,380,"1,327.0",3.49,,447,447,3,0,3,14,"134,432",3.09,"134,432",3.09,"23,903","2,547,605",17.78%,145,"$7,494,000","$5,647",$281.93,W 24TH ST,BROOKLYN,13,8,23,46,47,06/30/1965,1980/10/01-ATP 7,EXCLUSIVELY,,,,,2016
NY005012470,247,247,546,546,NY005218,HOPE GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,324,324,"1,409.0",4.35,,702,702,4,1,4,7-14,"202,500",4.65,"202,500",4.65,"41,000","351,600",20.25%,151,"$20,632,339","$14,504",$456.44,LINDEN ST,BROOKLYN,4,7,18,53,37,08/31/1981,,PARTIALLY,YES,,,,2016
NY005000720,072,072,568,568,NY005244A,HOWARD,CONVENTIONAL,NEW CONST,,,814,815,"3,704.0",4.55,,"1,924","1,924",10,0,16,7-13,"664,735",15.26,"621,176",14.26,"87,500","6,943,700",13.16%,126,"$11,359,000","$3,079",$447.04,EAST NEW YORK AVE,BROOKLYN,16,8,20,55,41,12/30/1955,1979/08/01-ATP 4,,,,,,2016
NY005013510,339,351,782,765,NY005261,HOWARD AVENUE,TURNKEY,NEW CONST,,,148,150,669.0,4.52,,382,382,5,0,25,3,"132,915",3.05,"132,915",3.05,"50,568","1,536,736",38.05%,125,"$11,464,557","$15,641",$536.72,EAST NEW YORK AVE,BROOKLYN,16,9,20,55,41,08/01/1988,,,YES,,,,2016
NY005013510,365,351,551,551,NY005225,HOWARD AVENUE-PARK PLACE,TURNKEY,NEW CONST,,,156,156,781.0,5.01,,463,463,8,0,159,3,"197,563",4.54,"197,563",4.54,"54,978","1,657,275",27.83%,102,"$15,843,706","$20,286",$609.85,HOWARD AVE,BROOKLYN,16,9,"20, 25",55,41,08/31/1994,,,YES,,,,2016
NY005011680,168,168,275,275,NY005081,HUGHES APARTMENTS,CONVENTIONAL,NEW CONST,,,509,513,"2,421.5",4.76,,"1,418","1,418",3,1,4,22,"241,990",5.56,"241,990",5.56,"23,502","4,599,540",9.71%,255,"$10,288,064","$4,201",$501.53,ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,06/30/1968,,,,,,,2016
NY005010860,109,086,680,680,NY005364,HYLAN,CONVENTIONAL,NEW CONST,,,209,209,933.5,4.47,,460,460,1,0,1,19,"77,658",1.78,"77,658",1.78,"11,403","1,878,400",14.68%,258,"$3,945,608","$4,240",$514.90,MOORE ST,BROOKLYN,1,7,18,53,34,06/30/1960,1995/07/13-PTA,,,,,,2016
NY005021400,140,234,442,442,NY005376,INDEPENDENCE,CONVENTIONAL,NEW CONST,,108,742,744,"3,341.0",4.50,289,"1,502","1,791",6,0,6,21,"232,000",5.33,"232,000",5.33,"44,685","6,457,003",19.26%,336,"$14,543,000","$4,344",$426.34,CLYMER ST,BROOKLYN,1,7,18,50,33,10/31/1965,,,,,,,2016
NY005000140,014,014,510,510,NY005213B,INGERSOLL,CONVENTIONAL,NEW CONST,,,"1,826","1,840","8,678.0",4.75,,"4,314","4,314",20,1,46,6-11,"997,521",22.90,"925,641",21.25,"175,748","10,226,288",17.62%,188,"$12,236,672","$1,681",$518.27,PARK AVE,BROOKLYN,2,8,25,57,35,02/24/1944,1977/07/01-ATP 1,,,,,,2016
NY005010100,010,010,205,205,NY005006,KINGSBOROUGH,CONVENTIONAL,NEW CONST,,,"1,164","1,165","4,749.0",4.08,,"2,510","2,510",16,0,35,6,"695,544",15.97,"665,526",15.28,"129,189","8,037,853",18.57%,157,"$5,175,100","$1,107",$448.93,RALPH AVE,BROOKLYN,"8, 16",8,25,"55, 56",41,10/31/1941,,,,,,,2016
NY005010100,161,010,268,205,NY005071,KINGSBOROUGH EXTENSION,CONVENTIONAL,NEW CONST (ELD),,,184,184,644.0,3.50,,195,195,1,0,1,25,"63,254",1.45,"63,254",1.45,"7,110","1,224,082",11.24%,134,"$2,986,383","$4,637",$324.13,BERGEN ST,BROOKLYN,8,8,25,56,41,05/31/1966,,EXCLUSIVELY,,,,,2016
NY005001220,122,122,247,247,NY005047,LAFAYETTE,CONVENTIONAL,NEW CONST,,,882,882,"4,385.0",4.97,,"2,462","2,462",7,0,7,13-15-20,"334,323",7.68,"304,776",7.00,"58,504","8,369,220",17.50%,321,"$14,689,766","$3,350",$568.67,LAFAYETTE AVE,BROOKLYN,3,8,25,57,35,07/31/1962,,,,,,,2016
